year,ottawa_temp,global_temp,city
1750,4.47,8.72,Ottawa
1751,5.10,7.98,Ottawa
1752,-3.73,5.78,Ottawa
1753,3.90,8.39,Ottawa
1754,3.96,8.47,Ottawa
1755,0.65,8.36,Ottawa
1756,4.23,8.85,Ottawa
1757,3.18,9.02,Ottawa
1758,2.58,6.74,Ottawa
1759,3.39,7.99,Ottawa
1760,1.81,7.19,Ottawa
1761,4.43,8.77,Ottawa
1762,4.14,8.61,Ottawa
1763,1.28,7.50,Ottawa
1764,3.68,8.40,Ottawa
1765,3.13,8.25,Ottawa
1766,4.45,8.41,Ottawa
1767,2.71,8.22,Ottawa
1768,3.12,6.78,Ottawa
1769,3.56,7.69,Ottawa
1770,3.54,7.69,Ottawa
1771,4.26,7.85,Ottawa
1772,4.04,8.19,Ottawa
1773,4.43,8.22,Ottawa
1774,3.69,8.77,Ottawa
1775,4.75,9.18,Ottawa
1776,3.79,8.30,Ottawa
1777,3.30,8.26,Ottawa
1778,1.14,8.54,Ottawa
1779,4.30,8.98,Ottawa
1780,7.02,9.43,Ottawa
1781,4.12,8.10,Ottawa
1782,3.53,7.90,Ottawa
1783,3.23,7.68,Ottawa
1784,2.96,7.86,Ottawa
1785,2.94,7.36,Ottawa
1786,3.45,8.26,Ottawa
1787,3.46,8.03,Ottawa
1788,4.15,8.45,Ottawa
1789,3.83,8.33,Ottawa
1790,3.78,7.98,Ottawa
1791,3.78,8.23,Ottawa
1792,3.19,8.09,Ottawa
1793,4.25,8.23,Ottawa
1794,4.25,8.53,Ottawa
1795,3.68,8.35,Ottawa
1796,3.56,8.27,Ottawa
1797,3.31,8.51,Ottawa
1798,4.03,8.67,Ottawa
1799,3.59,8.51,Ottawa
1800,4.09,8.48,Ottawa
1801,4.49,8.59,Ottawa
1802,4.70,8.58,Ottawa
1803,4.35,8.50,Ottawa
1804,4.08,8.84,Ottawa
1805,4.69,8.56,Ottawa
1806,3.73,8.43,Ottawa
1807,3.55,8.28,Ottawa
1808,3.81,7.63,Ottawa
1809,3.05,7.08,Ottawa
1810,3.53,6.92,Ottawa
1811,3.70,6.86,Ottawa
1812,2.04,7.05,Ottawa
1813,3.35,7.74,Ottawa
1814,3.17,7.59,Ottawa
1815,2.67,7.24,Ottawa
1816,2.21,6.94,Ottawa
1817,2.21,6.98,Ottawa
1818,2.83,7.83,Ottawa
1819,3.33,7.37,Ottawa
1820,3.34,7.62,Ottawa
1821,3.19,8.09,Ottawa
1822,3.74,8.19,Ottawa
1823,2.81,7.72,Ottawa
1824,3.53,8.55,Ottawa
1825,4.51,8.39,Ottawa
1826,4.44,8.36,Ottawa
1827,3.81,8.81,Ottawa
1828,4.80,8.17,Ottawa
1829,3.39,7.94,Ottawa
1830,4.17,8.52,Ottawa
1831,3.45,7.64,Ottawa
1832,3.57,7.45,Ottawa
1833,3.54,8.01,Ottawa
1834,3.73,8.15,Ottawa
1835,2.59,7.39,Ottawa
1836,2.17,7.70,Ottawa
1837,2.46,7.38,Ottawa
1838,2.75,7.51,Ottawa
1839,3.65,7.63,Ottawa
1840,3.91,7.80,Ottawa
1841,3.39,7.69,Ottawa
1842,3.43,8.02,Ottawa
1843,2.98,8.17,Ottawa
1844,2.94,7.65,Ottawa
1845,3.23,7.85,Ottawa
1846,4.04,8.55,Ottawa
1847,3.52,8.09,Ottawa
1848,3.78,7.98,Ottawa
1849,3.19,7.98,Ottawa
1850,3.33,7.90,Ottawa
1851,3.22,8.18,Ottawa
1852,3.37,8.10,Ottawa
1853,3.59,8.04,Ottawa
1854,3.42,8.21,Ottawa
1855,3.38,8.11,Ottawa
1856,2.67,8.00,Ottawa
1857,3.17,7.76,Ottawa
1858,3.27,8.10,Ottawa
1859,3.21,8.25,Ottawa
1860,3.58,7.96,Ottawa
1861,3.46,7.85,Ottawa
1862,2.81,7.56,Ottawa
1863,3.22,8.11,Ottawa
1864,3.99,7.98,Ottawa
1865,3.83,8.18,Ottawa
1866,3.29,8.29,Ottawa
1867,3.00,8.44,Ottawa
1868,2.81,8.25,Ottawa
1869,3.11,8.43,Ottawa
1870,4.76,8.20,Ottawa
1871,3.24,8.12,Ottawa
1872,3.30,8.19,Ottawa
1873,2.94,8.35,Ottawa
1874,3.18,8.43,Ottawa
1875,1.55,7.86,Ottawa
1876,3.37,8.08,Ottawa
1877,5.01,8.54,Ottawa
1878,5.39,8.83,Ottawa
1879,3.09,8.17,Ottawa
1880,4.12,8.12,Ottawa
1881,4.49,8.27,Ottawa
1882,3.74,8.13,Ottawa
1883,2.43,7.98,Ottawa
1884,3.48,7.77,Ottawa
1885,2.28,7.92,Ottawa
1886,3.31,7.95,Ottawa
1887,3.11,7.91,Ottawa
1888,2.65,8.09,Ottawa
1889,4.40,8.32,Ottawa
1890,3.19,7.97,Ottawa
1891,4.54,8.02,Ottawa
1892,3.67,8.07,Ottawa
1893,2.94,8.06,Ottawa
1894,4.52,8.16,Ottawa
1895,3.95,8.15,Ottawa
1896,3.61,8.21,Ottawa
1897,4.04,8.29,Ottawa
1898,4.96,8.18,Ottawa
1899,4.22,8.40,Ottawa
1900,4.19,8.50,Ottawa
1901,4.11,8.54,Ottawa
1902,4.10,8.30,Ottawa
1903,3.99,8.22,Ottawa
1904,2.19,8.09,Ottawa
1905,3.31,8.23,Ottawa
1906,4.16,8.38,Ottawa
1907,2.94,7.95,Ottawa
1908,4.06,8.19,Ottawa
1909,3.98,8.18,Ottawa
1910,4.28,8.22,Ottawa
1911,4.43,8.18,Ottawa
1912,3.11,8.17,Ottawa
1913,5.01,8.30,Ottawa
1914,3.14,8.59,Ottawa
1915,5.02,8.59,Ottawa
1916,3.91,8.23,Ottawa
1917,2.15,8.02,Ottawa
1918,3.55,8.13,Ottawa
1919,4.32,8.38,Ottawa
1920,4.05,8.36,Ottawa
1921,5.51,8.57,Ottawa
1922,4.51,8.41,Ottawa
1923,3.33,8.42,Ottawa
1924,3.43,8.51,Ottawa
1925,3.89,8.53,Ottawa
1926,2.59,8.73,Ottawa
1927,4.49,8.52,Ottawa
