year,city,country,avg_temp
1849,Abidjan,Côte D'Ivoire,25.58
1850,Abidjan,Côte D'Ivoire,25.52
1851,Abidjan,Côte D'Ivoire,25.67
1852,Abidjan,Côte D'Ivoire,
1853,Abidjan,Côte D'Ivoire,
1854,Abidjan,Côte D'Ivoire,
1855,Abidjan,Côte D'Ivoire,
1856,Abidjan,Côte D'Ivoire,26.28
1857,Abidjan,Côte D'Ivoire,25.17
1858,Abidjan,Côte D'Ivoire,25.49
1859,Abidjan,Côte D'Ivoire,25.92
1860,Abidjan,Côte D'Ivoire,25.46
1861,Abidjan,Côte D'Ivoire,25.67
1862,Abidjan,Côte D'Ivoire,25.17
1863,Abidjan,Côte D'Ivoire,
1864,Abidjan,Côte D'Ivoire,
1865,Abidjan,Côte D'Ivoire,
1866,Abidjan,Côte D'Ivoire,
1867,Abidjan,Côte D'Ivoire,
1868,Abidjan,Côte D'Ivoire,
